Timestamp,Location,Vehicle Count,Avg Speed,Density
2025-04-09 19:55:45.322644,Jaydev Vihar,98,32,59.03
2025-04-09 19:55:45.322644,Rupali Square,138,21,78.2
2025-04-09 19:55:45.322644,CRP Square,148,71,163.32
2025-04-09 19:55:55.325750,Jaydev Vihar,64,23,34.02
2025-04-09 19:55:55.325750,Rupali Square,13,80,19.5
2025-04-09 19:55:55.325750,CRP Square,105,57,59.14
2025-04-09 19:56:05.338837,Jaydev Vihar,17,63,16.53
2025-04-09 19:56:05.339745,Rupali Square,59,72,45.77
2025-04-09 19:56:05.344132,CRP Square,87,26,116.88
2025-04-09 19:56:15.346802,Jaydev Vihar,113,61,120.78
2025-04-09 19:56:15.351853,Rupali Square,36,25,25.36
2025-04-09 19:56:15.352529,CRP Square,66,62,39.44
2025-04-09 19:56:25.357621,Jaydev Vihar,149,23,118.5
2025-04-09 19:56:25.357621,Rupali Square,61,23,52.07
2025-04-09 19:56:25.357621,CRP Square,45,71,29.73
2025-04-09 19:56:35.361959,Jaydev Vihar,122,31,108.82
2025-04-09 19:56:35.363624,Rupali Square,45,27,61.5
2025-04-09 19:56:35.372035,CRP Square,111,68,114.61
2025-04-09 19:56:45.382060,Jaydev Vihar,35,51,24.55
2025-04-09 19:56:45.382060,Rupali Square,116,31,118.83
2025-04-09 19:56:45.382060,CRP Square,85,32,124.45
2025-04-09 19:56:55.389810,Jaydev Vihar,93,75,89.24
2025-04-09 19:56:55.399557,Rupali Square,119,51,60.65
2025-04-09 19:56:55.405359,CRP Square,26,50,17.23
2025-04-09 19:57:05.418965,Jaydev Vihar,134,25,86.23
2025-04-09 19:57:05.418965,Rupali Square,34,70,19.38
2025-04-09 19:57:05.426157,CRP Square,89,46,83.11
2025-04-09 19:57:15.495115,Jaydev Vihar,43,35,24.22
2025-04-09 19:57:15.495115,Rupali Square,115,51,63.61
2025-04-09 19:57:15.495115,CRP Square,98,22,119.19
2025-04-09 19:57:25.514107,Jaydev Vihar,41,37,36.1
2025-04-09 19:57:25.517306,Rupali Square,115,71,152.43
2025-04-09 19:57:25.517306,CRP Square,17,39,9.6
2025-04-09 19:57:35.520693,Jaydev Vihar,143,38,112.49
2025-04-09 19:57:35.521580,Rupali Square,116,71,118.49
2025-04-09 19:57:35.521580,CRP Square,126,64,64.56
2025-04-09 19:57:45.532701,Jaydev Vihar,135,41,115.3
2025-04-09 19:57:45.532701,Rupali Square,68,39,67.51
2025-04-09 19:57:45.538369,CRP Square,95,36,106.72
2025-04-09 19:57:55.544192,Jaydev Vihar,24,26,13.22
2025-04-09 19:57:55.544192,Rupali Square,86,31,69.98
2025-04-09 19:57:55.549963,CRP Square,93,62,126.81
2025-04-09 19:58:05.554702,Jaydev Vihar,68,53,51.55
2025-04-09 19:58:05.557346,Rupali Square,75,77,79.14
2025-04-09 19:58:05.557346,CRP Square,138,80,121.95
2025-04-09 19:58:15.567377,Jaydev Vihar,47,39,30.03
2025-04-09 19:58:15.569956,Rupali Square,32,46,17.53
2025-04-09 19:58:15.572868,CRP Square,23,72,16.67
2025-04-09 19:58:25.581608,Jaydev Vihar,56,27,50.24
2025-04-09 19:58:25.581608,Rupali Square,58,43,33.99
2025-04-09 19:58:25.601755,CRP Square,84,22,66.57
2025-04-09 19:58:35.605827,Jaydev Vihar,125,57,193.1
2025-04-09 19:58:35.606848,Rupali Square,91,32,60.95
2025-04-09 19:58:35.613246,CRP Square,77,75,83.12
2025-04-09 19:58:45.621755,Jaydev Vihar,120,27,118.19
2025-04-09 19:58:45.621755,Rupali Square,90,77,59.13
2025-04-09 19:58:45.628524,CRP Square,122,26,156.05
2025-04-09 19:58:55.634089,Jaydev Vihar,14,39,8.71
2025-04-09 19:58:55.634089,Rupali Square,70,46,60.33
2025-04-09 19:58:55.634089,CRP Square,126,74,88.79
2025-04-09 19:59:05.646687,Jaydev Vihar,93,72,154.25
2025-04-09 19:59:05.648717,Rupali Square,106,58,118.17
2025-04-09 19:59:05.653842,CRP Square,67,69,88.51
2025-04-09 19:59:15.657568,Jaydev Vihar,89,23,177.8
2025-04-09 19:59:15.660118,Rupali Square,23,45,15.93
2025-04-09 19:59:15.660118,CRP Square,90,75,62.63
2025-04-09 19:59:25.667177,Jaydev Vihar,116,62,137.62
2025-04-09 19:59:25.669795,Rupali Square,66,57,47.87
2025-04-09 19:59:25.672477,CRP Square,56,54,29.95
2025-04-09 19:59:35.680104,Jaydev Vihar,10,36,12.21
2025-04-09 19:59:35.680104,Rupali Square,74,67,61.02
2025-04-09 19:59:35.688110,CRP Square,56,45,59.86
2025-04-09 19:59:45.691198,Jaydev Vihar,97,53,184.1
2025-04-09 19:59:45.695046,Rupali Square,19,35,11.15
2025-04-09 19:59:45.695046,CRP Square,89,64,171.72
2025-04-09 19:59:55.701581,Jaydev Vihar,20,74,37.43
2025-04-09 19:59:55.701581,Rupali Square,92,71,61.11
2025-04-09 19:59:55.706427,CRP Square,101,52,103.83
2025-04-09 20:00:05.711810,Jaydev Vihar,146,70,274.05
2025-04-09 20:00:05.713043,Rupali Square,117,57,65.02
2025-04-09 20:00:05.714675,CRP Square,88,60,64.52
2025-04-09 20:00:15.717036,Jaydev Vihar,117,23,61.98
2025-04-09 20:00:15.719122,Rupali Square,66,47,35.87
2025-04-09 20:00:15.720982,CRP Square,109,79,67.18
2025-04-09 20:00:25.722833,Jaydev Vihar,53,45,100.84
2025-04-09 20:00:25.722833,Rupali Square,66,76,123.37
2025-04-09 20:00:25.722833,CRP Square,108,46,111.78
2025-04-09 20:00:35.733100,Jaydev Vihar,145,62,145.97
2025-04-09 20:00:35.733100,Rupali Square,15,20,7.88
2025-04-09 20:00:35.738112,CRP Square,26,36,26.3
2025-04-09 20:00:45.745130,Jaydev Vihar,137,47,222.74
2025-04-09 20:00:45.746174,Rupali Square,13,28,24.45
2025-04-09 20:00:45.746174,CRP Square,54,59,58.9
2025-04-09 20:00:55.755924,Jaydev Vihar,77,53,44.76
2025-04-09 20:00:55.756934,Rupali Square,55,76,29.83
2025-04-09 20:00:55.763353,CRP Square,80,27,134.43
2025-04-09 20:01:05.767166,Jaydev Vihar,85,26,73.94
2025-04-09 20:01:05.767166,Rupali Square,67,43,35.29
2025-04-09 20:01:05.767166,CRP Square,58,48,35.61
2025-04-09 20:01:15.776392,Jaydev Vihar,123,32,73.59
2025-04-09 20:01:15.776392,Rupali Square,80,60,101.71
2025-04-09 20:01:15.776392,CRP Square,35,51,29.78
2025-04-09 20:01:25.784415,Jaydev Vihar,140,70,102.95
2025-04-09 20:01:25.784415,Rupali Square,38,51,21.85
2025-04-09 20:01:25.784415,CRP Square,11,47,19.3
2025-04-09 20:01:35.794264,Jaydev Vihar,137,76,201.67
2025-04-09 20:01:35.794264,Rupali Square,142,49,98.66
2025-04-09 20:01:35.794264,CRP Square,124,62,98.12
2025-04-09 20:01:45.802284,Jaydev Vihar,80,27,41.13
2025-04-09 20:01:45.802284,Rupali Square,58,27,66.51
2025-04-09 20:01:45.802284,CRP Square,135,30,152.54
2025-04-09 20:01:55.811559,Jaydev Vihar,34,47,18.08
2025-04-09 20:01:55.814026,Rupali Square,80,20,94.67
2025-04-09 20:01:55.819207,CRP Square,134,46,68.88
2025-04-09 20:02:05.821997,Jaydev Vihar,122,28,110.93
2025-04-09 20:02:05.825034,Rupali Square,134,20,93.78
2025-04-09 20:02:05.828990,CRP Square,87,74,56.48
2025-04-09 20:02:15.831219,Jaydev Vihar,22,76,26.91
2025-04-09 20:02:15.831219,Rupali Square,98,42,147.27
2025-04-09 20:02:15.831219,CRP Square,11,38,19.51
2025-04-09 20:02:25.839981,Jaydev Vihar,115,36,73.41
2025-04-09 20:02:25.841586,Rupali Square,146,73,106.57
2025-04-09 20:02:25.841586,CRP Square,136,45,208.85
2025-04-09 20:02:35.848766,Jaydev Vihar,111,49,182.62
2025-04-09 20:02:35.848766,Rupali Square,47,59,87.35
2025-04-09 20:02:35.848766,CRP Square,61,26,37.62
2025-04-09 20:02:45.858460,Jaydev Vihar,117,53,117.68
2025-04-09 20:02:45.859052,Rupali Square,132,65,134.52
2025-04-09 20:02:45.859052,CRP Square,103,32,63.81
2025-04-09 20:02:55.866552,Jaydev Vihar,135,63,132.95
2025-04-09 20:02:55.870060,Rupali Square,88,40,104.44
2025-04-09 20:02:55.870060,CRP Square,38,50,36.62
2025-04-09 20:03:05.888552,Jaydev Vihar,128,33,141.82
2025-04-09 20:03:05.893692,Rupali Square,11,22,10.58
2025-04-09 20:03:05.893692,CRP Square,12,59,8.8
2025-04-09 20:03:15.897275,Jaydev Vihar,100,53,104.65
2025-04-09 20:03:15.898093,Rupali Square,145,57,288.5
2025-04-09 20:03:15.899063,CRP Square,45,30,37.79
2025-04-09 20:03:25.900217,Jaydev Vihar,14,62,21.42
2025-04-09 20:03:25.900217,Rupali Square,54,20,36.8
2025-04-09 20:03:25.900217,CRP Square,106,59,77.87
2025-04-09 20:03:35.902821,Jaydev Vihar,137,42,176.21
2025-04-09 20:03:35.902821,Rupali Square,114,35,57.46
2025-04-09 20:03:35.902821,CRP Square,76,22,107.41
2025-04-09 20:03:45.908703,Jaydev Vihar,64,64,35.92
2025-04-09 20:03:45.910219,Rupali Square,71,33,95.22
2025-04-09 20:03:45.911262,CRP Square,130,25,102.57
2025-04-09 20:03:55.914667,Jaydev Vihar,79,72,58.48
2025-04-09 20:03:55.914667,Rupali Square,115,71,67.83
2025-04-09 20:03:55.914667,CRP Square,138,24,106.29
2025-04-09 20:04:05.919652,Jaydev Vihar,17,64,19.05
2025-04-09 20:04:05.919652,Rupali Square,34,69,20.53
2025-04-09 20:04:05.922782,CRP Square,97,54,58.23
2025-04-09 20:04:15.925286,Jaydev Vihar,13,29,8.11
2025-04-09 20:04:15.925286,Rupali Square,123,22,110.68
2025-04-09 20:04:15.925286,CRP Square,120,79,86.59
2025-04-09 20:04:25.930763,Jaydev Vihar,96,29,61.74
2025-04-09 20:04:25.930763,Rupali Square,129,80,120.78
